Before;After;;;;;;;
6067;1187;;;;;;;
449;1426;;;Before;;;After;
2873;1114;;;;;;;
1239;1374;;;Media;534,80;;Media;1.890,10
365;1441;;;Error típico;36,88;;Error típico;263,26
594;1186;;;Mediana;588,00;;Mediana;1.271,00
281;1152;;;Moda;594,00;;Moda;10,00
262;1327;;;Desviación estándar;506,99;;Desviación estándar;4.349,84
1715;10;;;Varianza de la muestra;257.040,75;;Varianza de la muestra;18.921.114,01
594;1328;;;Curtosis;77,82;;Curtosis;44,53
1773;20;;;Coeficiente de asimetría;7,68;;Coeficiente de asimetría;6,45
348;1260;;;Rango;5.880,00;;Rango;41.380,00
408;1360;;;Mínimo;187,00;;Mínimo;10,00
1125;1133;;;Máximo;6.067,00;;Máximo;41.390,00
614;1363;;;Suma;101.077,00;;Suma;515.998,00
1411;1297;;;Cuenta;189,00;;Cuenta;273,00
315;1329;;;Nivel de confianza(95,0%);72,75;;Nivel de confianza(95,0%);518,29
246;15;;;;;;;
605;1268;;;;;;;
591;1206;;;;;;;
785;21;;;;;;;
249;18;;;;;;;
235;1160;;;Prueba z para medias de dos muestras;;;;
592;1264;;;;;;;
594;1370;;;;Before;After;;
595;2259;;;Media;534,7989418;1890,102564;;
311;2441;;;Varianza (conocida);257040,75;18921114,01;;
222;304;;;Observaciones;189;273;;
597;1320;;;Diferencia hipotética de las medias;0;;;
593;1487;;;z;-5,098293682;;;
624;264;;;P(Z<=z) una cola;1,71364E-07;;;
264;1430;;;Valor crítico de z (una cola);1,644853627;;;
265;1176;;;Valor crítico de z (dos colas);3,42729E-07;;;
593;1406;;;Valor crítico de z (dos colas);1,959963985;;;
590;1187;;;;;;;
637;1426;;;;;;;
246;1114;;;;;;;
252;1374;;;;;;;
608;1441;;;;;;;
594;1163;;;;;;;
237;1279;;;;;;;
235;1253;;;;;;;
590;21287;;;;;;;
594;1318;;;;;;;
218;1358;;;;;;;
238;1492;;;;;;;
594;1364;;;;;;;
591;1129;;;;;;;
233;1144;;;;;;;
233;1449;;;;;;;
594;1420;;;;;;;
595;1106;;;;;;;
324;1461;;;;;;;
295;1191;;;;;;;
593;1230;;;;;;;
585;1171;;;;;;;
264;17;;;;;;;
281;1322;;;;;;;
591;1498;;;;;;;
591;1233;;;;;;;
235;1210;;;;;;;
222;1306;;;;;;;
594;15;;;;;;;
582;1344;;;;;;;
236;13229;;;;;;;
234;1196;;;;;;;
598;1420;;;;;;;
591;13;;;;;;;
277;1464;;;;;;;
237;1179;;;;;;;
588;1115;;;;;;;
592;1322;;;;;;;
233;1400;;;;;;;
221;1163;;;;;;;
590;1279;;;;;;;
594;1253;;;;;;;
267;1287;;;;;;;
229;1318;;;;;;;
592;1302;;;;;;;
591;1380;;;;;;;
237;1143;;;;;;;
251;1428;;;;;;;
589;14;;;;;;;
596;1339;;;;;;;
218;1269;;;;;;;
251;1289;;;;;;;
593;21381;;;;;;;
637;1248;;;;;;;
263;2330;;;;;;;
233;10;;;;;;;
590;1494;;;;;;;
593;453;;;;;;;
258;1411;;;;;;;
233;1458;;;;;;;
594;1320;;;;;;;
594;2456;;;;;;;
248;1153;;;;;;;
220;1165;;;;;;;
592;1410;;;;;;;
596;1453;;;;;;;
247;21285;;;;;;;
220;1354;;;;;;;
595;1131;;;;;;;
597;1167;;;;;;;
260;21417;;;;;;;
363;1339;;;;;;;
589;25;;;;;;;
589;2300;;;;;;;
234;1288;;;;;;;
235;16;;;;;;;
590;1205;;;;;;;
589;1286;;;;;;;
294;1302;;;;;;;
399;1380;;;;;;;
586;1143;;;;;;;
586;1428;;;;;;;
525;14;;;;;;;
266;1143;;;;;;;
1143;1463;;;;;;;
588;1375;;;;;;;
573;1452;;;;;;;
307;10;;;;;;;
590;22;;;;;;;
1141;1207;;;;;;;
500;41390;;;;;;;
518;1192;;;;;;;
593;1239;;;;;;;
591;1165;;;;;;;
529;1488;;;;;;;
515;1139;;;;;;;
592;1340;;;;;;;
587;1160;;;;;;;
593;1360;;;;;;;
510;22;;;;;;;
594;1358;;;;;;;
594;1191;;;;;;;
517;1143;;;;;;;
562;1244;;;;;;;
590;1366;;;;;;;
1157;10;;;;;;;
513;31208;;;;;;;
501;1275;;;;;;;
598;1249;;;;;;;
593;1252;;;;;;;
314;1184;;;;;;;
534;31486;;;;;;;
1132;1398;;;;;;;
591;1100;;;;;;;
634;1408;;;;;;;
533;1117;;;;;;;
597;18;;;;;;;
597;1143;;;;;;;
503;1463;;;;;;;
481;1375;;;;;;;
589;1452;;;;;;;
590;10;;;;;;;
354;1232;;;;;;;
271;1321;;;;;;;
618;1224;;;;;;;
589;1455;;;;;;;
217;1483;;;;;;;
589;1241;;;;;;;
202;1444;;;;;;;
596;25;;;;;;;
201;1145;;;;;;;
593;1350;;;;;;;
187;1245;;;;;;;
595;1461;;;;;;;
191;1264;;;;;;;
597;1160;;;;;;;
204;1428;;;;;;;
593;1335;;;;;;;
189;1445;;;;;;;
594;1333;;;;;;;
223;1289;;;;;;;
593;1177;;;;;;;
280;1452;;;;;;;
200;1133;;;;;;;
588;1257;;;;;;;
592;1390;;;;;;;
218;1177;;;;;;;
591;1268;;;;;;;
189;1483;;;;;;;
203;1190;;;;;;;
581;1115;;;;;;;
590;1171;;;;;;;
598;1295;;;;;;;
221;1306;;;;;;;
596;13;;;;;;;
;1230;;;;;;;
;1232;;;;;;;
;3321;;;;;;;
;1224;;;;;;;
;1455;;;;;;;
;2483;;;;;;;
;1367;;;;;;;
;3111;;;;;;;
;1249;;;;;;;
;4207;;;;;;;
;472;;;;;;;
;1137;;;;;;;
;267;;;;;;;
;20;;;;;;;
;1369;;;;;;;
;1111;;;;;;;
;1470;;;;;;;
;1300;;;;;;;
;1380;;;;;;;
;14;;;;;;;
;1471;;;;;;;
;1103;;;;;;;
;1499;;;;;;;
;1436;;;;;;;
;1101;;;;;;;
;1251;;;;;;;
;1160;;;;;;;
;69;;;;;;;
;1196;;;;;;;
;1460;;;;;;;
;1384;;;;;;;
;1440;;;;;;;
;1328;;;;;;;
;1148;;;;;;;
;1392;;;;;;;
;1191;;;;;;;
;17;;;;;;;
;1361;;;;;;;
;14;;;;;;;
;1210;;;;;;;
;1367;;;;;;;
;1111;;;;;;;
;1249;;;;;;;
;1207;;;;;;;
;1472;;;;;;;
;13;;;;;;;
;1271;;;;;;;
;1272;;;;;;;
;1326;;;;;;;
;20;;;;;;;
;1415;;;;;;;
;1396;;;;;;;
;1212;;;;;;;
;1232;;;;;;;
;1166;;;;;;;
;1159;;;;;;;
;1182;;;;;;;
;1216;;;;;;;
;1418;;;;;;;
;1421;;;;;;;
;1185;;;;;;;
;1464;;;;;;;
;1219;;;;;;;
;1161;;;;;;;
;1383;;;;;;;
;1327;;;;;;;
;1472;;;;;;;
;1312;;;;;;;
;1194;;;;;;;
;1439;;;;;;;
;1232;;;;;;;
;1164;;;;;;;
;1178;;;;;;;
;1485;;;;;;;
;1446;;;;;;;
;1429;;;;;;;
;1239;;;;;;;
;1315;;;;;;;
;1111;;;;;;;
;13;;;;;;;
;1271;;;;;;;
;1272;;;;;;;
;1326;;;;;;;
;20;;;;;;;
