timestamp,simple-path,time
2021-06-09 08:28:25.92,/master/welcome,4976
2021-06-09 08:28:26.289,/master/welcome,309
2021-06-09 08:28:28.095,/master/sign-in,1669
2021-06-09 08:28:29.369,/master/welcome,591
2021-06-09 08:28:31.621,/master/welcome,301
2021-06-09 08:28:32.374,/master/welcome,584
2021-06-09 08:28:32.823,/master/welcome,311
2021-06-09 08:28:33.145,/master/welcome,274
2021-06-09 08:28:34.497,/anonymous/shout/create,1127
2021-06-09 08:28:35.933,/master/welcome,589
2021-06-09 08:28:37.278,/anonymous/shout/list,1129
2021-06-09 08:28:38.262,/master/welcome,217
2021-06-09 08:28:38.522,/master/welcome,230
2021-06-09 08:28:39.279,/anonymous/shout/create,587
2021-06-09 08:28:40.742,/master/welcome,605
2021-06-09 08:28:41.549,/anonymous/shout/list,592
2021-06-09 08:28:42.523,/master/welcome,233
2021-06-09 08:28:42.833,/master/welcome,279
2021-06-09 08:28:43.62,/anonymous/shout/create,587
2021-06-09 08:28:45.127,/master/welcome,582
2021-06-09 08:28:45.915,/anonymous/shout/list,585
2021-06-09 08:28:47.763,/master/welcome,189
2021-06-09 08:28:48.009,/master/welcome,216
2021-06-09 08:28:48.773,/anonymous/shout/create,592
2021-06-09 08:28:50.264,/master/welcome,588
2021-06-09 08:28:51.056,/anonymous/shout/list,587
